Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
66;144889;"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations";journal;"15472450, 15472442";"Taylor and Francis Ltd.";No;No;1,065;Q1;64;106;147;4453;779;146;5,10;42,01;27,72;0;59;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2004-2025";"Aerospace Engineering (Q1); Applied Mathematics (Q1); Automotive Engineering (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering; Mathematics"
67;21101224376;"IEEE Internet of Things Magazine";journal;"25763199, 25763180";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,060;Q1;29;111;287;1463;1291;273;4,57;13,18;25,51;0;36;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2020-2024";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
68;25535;"IEEE Transactions on Visualization and Computer Graphics";journal;"10772626";"IEEE Computer Society";No;No;1,059;Q1;175;929;1264;51676;8643;1238;6,55;55,63;29,92;0;55;United States;Northern America;"IEEE Computer Society";"1995-2025";"Computer Graphics and Computer-Aided Design (Q1); Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q1)";"Computer Science"
69;21101054787;"Quantum Machine Intelligence";journal;"25244914, 25244906";"Springer Science and Business Media Deutschland GmbH";No;No;1,059;Q1;23;88;103;4255;628;103;5,12;48,35;18,95;0;6;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2019-2025";"Applied Mathematics (Q1); Computational Theory and Mathematics (Q1); Software (Q1); Theoretical Computer Science (Q1); Artificial Intelligence (Q2)";"Computer Science; Mathematics"
70;26324;"Random Structures and Algorithms";journal;"10429832, 10982418";"John Wiley and Sons Ltd";No;No;1,055;Q1;73;63;180;1874;215;179;1,03;29,75;15,72;0;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1990-2025";"Applied Mathematics (Q1); Computer Graphics and Computer-Aided Design (Q1); Mathematics (miscellaneous) (Q1); Software (Q1)";"Computer Science; Mathematics"
71;19268;"International Journal of High Performance Computing Applications";journal;"10943420, 17412846";"SAGE Publications Inc.";No;No;1,051;Q1;69;45;115;1822;424;106;2,92;40,49;14,47;0;3;United States;Northern America;"SAGE Publications Inc.";"1987-2025";"Hardware and Architecture (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
72;21101068040;"IEEE Transactions on Quantum Engineering";journal;"26891808";"Institute of Electrical and Electronics Engineers Inc.";Yes;No;1,045;Q1;28;72;165;3630;1063;164;5,20;50,42;19,71;0;3;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2020-2025";"Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Engineering (miscellaneous) (Q1); Mechanical Engineering (Q1); Software (Q1)";"Computer Science; Engineering; Physics and Astronomy"
73;18732;"Information and Software Technology";journal;"09505849";"Elsevier B.V.";No;No;1,045;Q1;130;146;503;9089;3160;485;5,95;62,25;29,94;0;11;Netherlands;Western Europe;"Elsevier B.V.";"1970, 1987-2025";"Computer Science Applications (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
74;21100241736;"Transportmetrica B";journal;"21680582, 21680566";"Taylor and Francis Ltd.";No;No;1,043;Q1;36;63;163;3244;640;162;3,74;51,49;30,09;0;43;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2025";"Modeling and Simulation (Q1); Software (Q1); Transportation (Q2)";"Computer Science; Mathematics; Social Sciences"
75;27856;"BIT Numerical Mathematics";journal;"15729125, 00063835";"Springer Netherlands";No;No;1,042;Q1;67;42;181;1468;332;181;1,74;34,95;21,43;0;0;Netherlands;Western Europe;"Springer Netherlands";"1961-2025";"Applied Mathematics (Q1); Computational Mathematics (Q1); Computer Networks and Communications (Q1); Software (Q1)";"Computer Science; Mathematics"
76;24596;"Cluster Computing";journal;"13867857";"Kluwer Academic Publishers";No;No;1,040;Q1;80;698;680;34578;4935;680;7,31;49,54;29,35;0;153;Netherlands;Western Europe;"Kluwer Academic Publishers";"1998, 2005-2025";"Computer Networks and Communications (Q1); Software (Q1)";"Computer Science"
77;21100836194;"ICT Express";journal;"24059595";"Korean Institute of Communications and Information Sciences";Yes;No;1,009;Q1;54;148;349;5810;2387;349;6,28;39,26;25,66;0;27;South Korea;Asiatic Region;"Korean Institute of Communications and Information Sciences";"2015-2025";"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1); Artificial Intelligence (Q2)";"Computer Science"
78;24825;"Pattern Recognition Letters";journal;"01678655";"Elsevier B.V.";No;No;1,005;Q1;188;297;934;9974;4922;907;4,54;33,58;29,76;0;12;Netherlands;Western Europe;"Elsevier B.V.";"1982-2025";"Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q1); Artificial Intelligence (Q2)";"Computer Science"
79;21101037157;"Visual Computing for Industry, Biomedicine, and Art";journal;"25244442, 2096496X";"Springer Science and Business Media Deutschland GmbH";Yes;Yes;1,004;Q1;24;28;82;1343;536;80;6,93;47,96;32,45;0;7;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2018-2025";"Computer Graphics and Computer-Aided Design (Q1); Computer Science (miscellaneous) (Q1); Computer Vision and Pattern Recognition (Q1); Medicine (miscellaneous) (Q1); Software (Q1); Visual Arts and Performing Arts (Q1)";"Arts and Humanities; Computer Science; Medicine"
80;21101064700;"IACR Transactions on Cryptographic Hardware and Embedded Systems";journal;"25692925";"Ruhr-University of Bochum";Yes;Yes;0,985;Q1;48;81;247;3702;1202;247;3,40;45,70;18,03;0;2;Germany;Western Europe;"Ruhr-University of Bochum";"2018-2025";"Computer Graphics and Computer-Aided Design (Q1); Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Signal Processing (Q1); Software (Q1); Artificial Intelligence (Q2)";"Computer Science"
81;25621;"Journal of Parallel and Distributed Computing";journal;"07437315, 10960848";"Academic Press Inc.";No;No;0,978;Q1;111;127;455;6019;2395;446;5,26;47,39;24,43;0;17;United States;Northern America;"Academic Press Inc.";"1984-2025";"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Software (Q1); Theoretical Computer Science (Q1); Artificial Intelligence (Q2)";"Computer Science; Mathematics"
82;19309;"Journal of Systems and Software";journal;"01641212";"Elsevier Inc.";No;No;0,975;Q1;135;242;590;16264;3493;578;5,88;67,21;24,91;4;19;United States;Northern America;"Elsevier Inc.";"1979, 1981, 1983-2025";"Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
83;12189;"Simulation Modelling Practice and Theory";journal;"1569190X";"Elsevier B.V.";No;No;0,963;Q1;90;121;381;5929;2245;373;5,99;49,00;26,11;0;38;Netherlands;Western Europe;"Elsevier B.V.";"2002-2025";"Hardware and Architecture (Q1); Modeling and Simulation (Q1); Software (Q1)";"Computer Science; Mathematics"
84;25548;"Signal Processing";journal;"01651684";"Elsevier B.V.";No;No;0,958;Q1;170;323;1123;14709;5250;1122;4,40;45,54;27,58;0;9;Netherlands;Western Europe;"Elsevier B.V.";"1979-2025";"Computer Vision and Pattern Recognition (Q1); Electrical and Electronic Engineering (Q1); Signal Processing (Q1); Software (Q1); Control and Systems Engineering (Q2)";"Computer Science; Engineering"
85;15463;"IEEE Micro";journal;"02721732";"IEEE Computer Society";No;No;0,945;Q1;106;88;285;716;929;242;3,26;8,14;19,89;0;12;United States;Northern America;"IEEE Computer Society";"1981-2025";"Electrical and Electronic Engineering (Q1); Hardware and Architecture (Q1); Software (Q1)";"Computer Science; Engineering"
86;21100855505;"Journal of Cybersecurity";journal;"20572093";"Oxford University Press";Yes;No;0,938;Q1;31;28;72;1877;397;72;4,45;67,04;25,53;1;6;United Kingdom;Western Europe;"Oxford University Press";"2015-2025";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Law (Q1); Political Science and International Relations (Q1); Safety Research (Q1); Safety, Risk, Reliability and Quality (Q1); Software (Q1); Social Psychology (Q2)";"Computer Science; Engineering; Psychology; Social Sciences"
87;21100332403;"Journal of Information Security and Applications";journal;"22142126, 22142134";"Elsevier Ltd";No;No;0,932;Q1;73;191;638;8711;3707;634;5,17;45,61;27,01;0;7;United Kingdom;Western Europe;"Elsevier Ltd";"2013-2025";"Computer Networks and Communications (Q1); Safety, Risk, Reliability and Quality (Q1); Software (Q1)";"Computer Science; Engineering"
88;23987;"Neuroinformatics";journal;"15392791, 15590089";"Humana Press";No;No;0,927;Q1;70;52;157;2724;531;147;3,34;52,38;34,65;0;9;United States;Northern America;"Humana Press";"2003-2025";"Information Systems (Q1); Software (Q1); Neuroscience (miscellaneous) (Q2)";"Computer Science; Neuroscience"
89;21100970266;"IEEE Transactions on Sustainable Computing";journal;"23773782";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,913;Q1;37;108;181;4534;828;175;4,73;41,98;25,30;0;50;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2016-2025";"Computational Theory and Mathematics (Q1); Control and Optimization (Q1); Hardware and Architecture (Q1); Software (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Computer Science; Energy; Mathematics"
90;21100383744;"Journal of Cloud Computing";journal;"2192113X";"Springer Science + Business Media";Yes;No;0,912;Q1;51;157;327;7362;2183;326;6,60;46,89;28,99;1;34;United States;Northern America;"Springer Science + Business Media";"2012-2025";"Computer Networks and Communications (Q1); Software (Q1)";"Computer Science"
91;21101182803;"ACM Transactions on Evolutionary Learning and Optimization";journal;"26883007, 2688299X";"Association for Computing Machinery";No;No;0,899;Q1;12;27;47;1488;212;44;4,66;55,11;24,73;0;1;United States;Northern America;"Association for Computing Machinery";"2021-2024";"Computational Theory and Mathematics (Q1); Computer Science (miscellaneous) (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2)";"Computer Science"
92;18650;"Empirical Software Engineering";journal;"13823256, 15737616";"Springer Netherlands";No;No;0,895;Q1;100;160;477;11794;2199;470;4,33;73,71;24,71;0;5;Netherlands;Western Europe;"Springer Netherlands";"1996-2025";"Software (Q1)";"Computer Science"
93;21101092533;"High-Confidence Computing";journal;"26672952";"Shandong University";Yes;No;0,894;Q1;14;53;80;2895;467;79;5,38;54,62;36,71;1;6;China;Asiatic Region;"Shandong University";"2021-2025";"Computational Theory and Mathematics (Q1); Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Software (Q1); Computer Science Applications (Q2)";"Computer Science"
94;18197;"Integrated Computer-Aided Engineering";journal;"10692509, 18758835";"SAGE Publications Ltd";No;No;0,887;Q1;50;23;83;1553;385;74;5,42;67,52;17,98;0;10;Netherlands;Western Europe;"SAGE Publications Ltd";"1993-2025";"Computational Theory and Mathematics (Q1); Software (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
95;12305;"Information Systems";journal;"03064379";"Elsevier Ltd";No;No;0,885;Q1;100;85;316;5146;1592;297;5,01;60,54;25,59;0;10;United Kingdom;Western Europe;"Elsevier Ltd";"1975-2025";"Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
96;24407;"Computing";journal;"14365057, 0010485X";"Springer";No;No;0,884;Q2;74;159;350;6617;1770;336;4,57;41,62;23,19;0;29;Austria;Western Europe;"Springer";"1966-2025";"Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Numerical Analysis (Q1); Computer Science Applications (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
97;21101194144;"Digital Translation: International Journal of Translation and Localization";journal;"29496861, 29496845";"John Benjamins Publishing Company";No;No;0,884;Q2;8;8;31;345;73;29;1,65;43,13;54,55;0;0;Netherlands;Western Europe;"John Benjamins Publishing Company";"2023-2024";"Communication (Q1); Linguistics and Language (Q1); Software (Q2)";"Computer Science; Social Sciences"
98;21101020042;"Proceedings of the ACM on Programming Languages";journal;"24751421";"Association for Computing Machinery (ACM)";Yes;No;0,882;Q2;54;365;661;19765;2231;660;3,34;54,15;17,95;1;6;United States;Northern America;"Association for Computing Machinery (ACM)";"2017-2025";"Safety, Risk, Reliability and Quality (Q1); Software (Q2)";"Computer Science; Engineering"
99;14965;"World Wide Web";journal;"15731413, 1386145X";"Springer New York";No;No;0,876;Q2;62;76;392;3981;1569;378;3,86;52,38;31,78;0;6;United States;Northern America;"Springer New York";"1998-2025";"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Software (Q2)";"Computer Science"
100;21100867250;"Journal of Open Research Software";journal;"20499647";"Ubiquity Press";Yes;No;0,875;Q2;17;15;60;282;341;60;1,12;18,80;30,43;0;4;United Kingdom;Western Europe;"Ubiquity Press";"2018-2025";"Information Systems (Q1); Library and Information Sciences (Q1); Software (Q2)";"Computer Science; Social Sciences"
101;21101019779;"Cybersecurity";journal;"20964862, 25233246";"SpringerOpen";Yes;Yes;0,873;Q2;28;79;125;3671;785;125;5,69;46,47;31,45;0;2;United Kingdom;Western Europe;"SpringerOpen";"2018-2025";"Computer Networks and Communications (Q1); Information Systems (Q1); Artificial Intelligence (Q2); Software (Q2)";"Computer Science"
102;28535;"Networks";journal;"10970037, 00283045";"Wiley-Liss Inc.";No;No;0,873;Q2;76;60;177;2427;444;167;1,84;40,45;29,41;0;10;United States;Northern America;"Wiley-Liss Inc.";"1971-2025";"Computer Networks and Communications (Q1); Information Systems (Q1); Hardware and Architecture (Q2); Software (Q2)";"Computer Science"
103;24361;"Journal of Intelligent Information Systems";journal;"15737675, 09259902";"Springer Netherlands";No;No;0,865;Q2;68;116;189;5204;1010;186;4,91;44,86;30,85;0;21;Netherlands;Western Europe;"Springer Netherlands";"1992-2025";"Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Information Systems (Q2); Software (Q2)";"Computer Science"
104;24161;"Computer Vision and Image Understanding";journal;"10773142, 1090235X";"Academic Press Inc.";No;No;0,856;Q2;159;261;381;15499;2196;378;4,93;59,38;30,41;0;11;United States;Northern America;"Academic Press Inc.";"1993-2025";"Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q2)";"Computer Science"
105;130138;"International Journal on Document Analysis and Recognition";journal;"14332825, 14332833";"Springer Verlag";Yes;No;0,830;Q2;61;68;79;3674;322;75;3,65;54,03;22,71;0;5;Germany;Western Europe;"Springer Verlag";"1998-2025";"Computer Vision and Pattern Recognition (Q1); Computer Science Applications (Q2); Software (Q2)";"Computer Science"
106;15703;"Knowledge and Information Systems";journal;"02191377, 02193116";"Springer London";No;No;0,827;Q2;100;266;427;15073;2006;427;4,95;56,67;27,78;0;29;United Kingdom;Western Europe;"Springer London";"1999-2025";"Artificial Intelligence (Q2); Hardware and Architecture (Q2); Human-Computer Interaction (Q2); Information Systems (Q2); Software (Q2)";"Computer Science"
107;21101083126;"ACM Transactions on Internet of Things";journal;"25776207";"Association for Computing Machinery (ACM)";No;No;0,821;Q2;16;21;58;1332;288;57;4,74;63,43;23,94;0;8;United States;Northern America;"Association for Computing Machinery (ACM)";"2020-2024";"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Hardware and Architecture (Q2); Information Systems (Q2); Software (Q2)";"Computer Science"
108;21100898676;"IACR Transactions on Symmetric Cryptology";journal;"2519173X";"Ruhr-University of Bochum";Yes;Yes;0,806;Q2;29;43;130;1795;387;128;2,39;41,74;34,71;0;0;Germany;Western Europe;"Ruhr-University of Bochum";"2018-2024";"Applied Mathematics (Q2); Computational Mathematics (Q2); Computer Science Applications (Q2); Software (Q2)";"Computer Science; Mathematics"
109;23871;"Journal of Cryptology";journal;"14321378, 09332790";"Springer New York";No;No;0,799;Q2;85;39;113;1918;435;111;2,50;49,18;17,39;0;0;United States;Northern America;"Springer New York";"1988-2025";"Applied Mathematics (Q2); Computer Science Applications (Q2); Software (Q2)";"Computer Science; Mathematics"
110;20952;"Journal of Computing and Information Science in Engineering";journal;"15309827";"The American Society of Mechanical Engineers(ASME)";No;No;0,788;Q2;62;107;280;6043;1229;275;4,03;56,48;22,60;0;41;United States;Northern America;"The American Society of Mechanical Engineers(ASME)";"2001-2024";"Computer Graphics and Computer-Aided Design (Q1); Industrial and Manufacturing Engineering (Q1); Computer Science Applications (Q2); Software (Q2)";"Computer Science; Engineering"
111;21101212766;"Discover Internet of Things";journal;"27307239";"Springer Nature";Yes;No;0,787;Q2;12;36;48;2525;290;47;5,90;70,14;18,75;0;12;Switzerland;Western Europe;"Springer Nature";"2021-2025";"Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2); Hardware and Architecture (Q2); Human-Computer Interaction (Q2); Information Systems (Q2); Software (Q2)";"Computer Science; Engineering"
112;3200147819;"Pervasive and Mobile Computing";journal;"15741192";"Elsevier B.V.";No;No;0,787;Q2;83;70;215;3902;920;204;4,40;55,74;25,44;0;20;Netherlands;Western Europe;"Elsevier B.V.";"2005-2025";"Computer Science (miscellaneous) (Q1); Applied Mathematics (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Hardware and Architecture (Q2); Information Systems (Q2); Software (Q2)";"Computer Science; Mathematics"
113;27869;"Computer Speech and Language";journal;"08852308, 10958363";"Academic Press";No;No;0,778;Q2;90;67;256;3864;1492;256;5,59;57,67;34,80;0;6;United States;Northern America;"Academic Press";"1986-1987, 1989-2025";"Human-Computer Interaction (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
114;25627;"Multimedia Tools and Applications";journal;"13807501, 15737721";"Springer";No;No;0,777;Q2;116;4469;5574;227249;30382;5530;5,19;50,85;32,11;2;924;United States;Northern America;"Springer";"1995-2025";"Media Technology (Q1); Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Software (Q2)";"Computer Science; Engineering"
115;24360;"Journal of Intelligent and Robotic Systems: Theory and Applications";journal;"15730409, 09210296";"Springer Nature";No;No;0,768;Q2;105;170;732;7720;2878;696;3,36;45,41;19,38;0;37;Netherlands;Western Europe;"Springer Nature";"1988-2025";"Industrial and Manufacturing Engineering (Q1); Mechanical Engineering (Q1); Artificial Intelligence (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Software (Q2)";"Computer Science; Engineering"
116;10300153313;"ACM Transactions on Embedded Computing Systems";journal;"15583465, 15399087";"Association for Computing Machinery";No;No;0,766;Q2;67;124;356;6953;1177;347;3,13;56,07;22,30;0;18;United States;Northern America;"Association for Computing Machinery";"2002-2024";"Hardware and Architecture (Q2); Software (Q2)";"Computer Science"
117;21100780477;"Informatics in Medicine Unlocked";journal;"23529148";"Elsevier Ltd";Yes;No;0,762;Q2;66;178;850;9754;4029;843;4,31;54,80;32,99;0;76;United Kingdom;Western Europe;"Elsevier Ltd";"2015-2025";"Computer Science Applications (Q2); Health Informatics (Q2); Information Systems (Q2); Software (Q2)";"Computer Science; Medicine"
118;19700181431;"Journal of Decision Systems";journal;"21167052, 12460125";"Taylor and Francis Ltd.";No;No;0,761;Q2;37;100;113;6354;559;109;4,17;63,54;37,04;2;24;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2025";"Library and Information Sciences (Q1); Management Information Systems (Q2); Software (Q2)";"Business, Management and Accounting; Computer Science; Social Sciences"
119;144641;"Software and Systems Modeling";journal;"16191374, 16191366";"Springer Verlag";No;No;0,754;Q2;62;110;296;5794;1001;255;3,64;52,67;27,00;0;9;Germany;Western Europe;"Springer Verlag";"2005-2025";"Modeling and Simulation (Q1); Software (Q2)";"Computer Science; Mathematics"
120;145326;"International Journal of Information Security";journal;"16155270, 16155262";"Springer Verlag";No;No;0,753;Q2;55;175;233;11447;1204;233;5,32;65,41;23,47;2;29;Germany;Western Europe;"Springer Verlag";"2005-2025";"Computer Networks and Communications (Q2); Information Systems (Q2); Safety, Risk, Reliability and Quality (Q2); Software (Q2)";"Computer Science; Engineering"
121;12300;"IEEE Transactions on Very Large Scale Integration (VLSI) Systems";journal;"15579999, 10638210";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,744;Q2;122;255;585;8148;2291;580;3,84;31,95;21,10;0;33;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1993-2025";"Electrical and Electronic Engineering (Q2); Hardware and Architecture (Q2); Software (Q2)";"Computer Science; Engineering"
122;21100862637;"Applied Computing and Informatics";journal;"22108327, 26341964";"Emerald Group Publishing Ltd.";Yes;Yes;0,742;Q2;43;26;75;1002;397;75;5,23;38,54;28,77;0;8;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2011, 2014-2025";"Computer Science Applications (Q2); Information Systems (Q2); Software (Q2)";"Computer Science"
123;800147111;"Journal of Grid Computing";journal;"15707873";"Springer Netherlands";No;No;0,734;Q2;63;70;173;3048;801;172;3,90;43,54;28,37;0;24;Netherlands;Western Europe;"Springer Netherlands";"2003-2025";"Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Information Systems (Q2); Software (Q2)";"Computer Science"
124;15688;"Journal of Information Systems";journal;"08887985, 15587959";"American Accounting Association";No;No;0,733;Q2;48;22;87;1294;278;85;2,46;58,82;44,07;0;5;United States;Northern America;"American Accounting Association";"2009-2024";"Accounting (Q2); Human-Computer Interaction (Q2); Information Systems (Q2); Information Systems and Management (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2); Software (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences"
125;24286;"International Journal of Approximate Reasoning";journal;"0888613X, 18734731";"Elsevier Inc.";No;No;0,731;Q2;116;163;452;8036;1543;440;3,44;49,30;24,89;0;2;United States;Northern America;"Elsevier Inc.";"1987-2025";"Applied Mathematics (Q2); Artificial Intelligence (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
126;27724;"IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems";journal;"02780070";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,725;Q2;136;534;1085;19597;3762;1084;3,40;36,70;24,12;0;81;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1982-2025";"Computer Graphics and Computer-Aided Design (Q1); Electrical and Electronic Engineering (Q2); Software (Q2)";"Computer Science; Engineering"
127;28538;"Optimization Methods and Software";journal;"10294937, 10556788";"Taylor and Francis Ltd.";No;No;0,725;Q2;70;94;196;3830;423;193;1,78;40,74;23,08;0;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2025";"Applied Mathematics (Q2); Control and Optimization (Q2); Software (Q2)";"Computer Science; Mathematics"
128;25623;"Journal of Supercomputing";journal;"15730484, 09208542";"Springer Netherlands";No;No;0,716;Q2;92;946;2109;42497;9121;2104;4,20;44,92;30,01;1;176;Netherlands;Western Europe;"Springer Netherlands";"1987-2025";"Hardware and Architecture (Q2); Information Systems (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
129;12358;"International Journal of Fuzzy Systems";journal;"15622479, 21993211";"Springer International Publishing AG";No;No;0,714;Q2;67;283;599;12068;2560;592;4,47;42,64;29,65;0;40;Switzerland;Western Europe;"Springer International Publishing AG";"2004-2025";"Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Control and Systems Engineering (Q2); Information Systems (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Engineering; Mathematics"
130;14300154706;"Peer-to-Peer Networking and Applications";journal;"19366450, 19366442";"Springer New York";No;No;0,712;Q2;55;236;599;9771;2734;593;3,92;41,40;31,24;2;73;United States;Northern America;"Springer New York";"2009-2025";"Computer Networks and Communications (Q2); Software (Q2)";"Computer Science"
131;20428;"International Journal of Advanced Manufacturing Technology";journal;"02683768, 14333015";"Springer London";No;No;0,706;Q2;175;2216;6098;97142;24171;6093;3,72;43,84;22,95;2;949;United Kingdom;Western Europe;"Springer London";"1985-2025";"Industrial and Manufacturing Engineering (Q1); Computer Science Applications (Q2); Control and Systems Engineering (Q2); Mechanical Engineering (Q2); Software (Q2)";"Computer Science; Engineering"
132;25626;"Multimedia Systems";journal;"14321882, 09424962";"Springer Verlag";No;No;0,698;Q2;70;383;505;19788;2523;493;5,10;51,67;33,09;0;31;Germany;Western Europe;"Springer Verlag";"1993-2000, 2002-2025";"Media Technology (Q1); Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Information Systems (Q2); Software (Q2)";"Computer Science; Engineering"
133;19700177336;"International Journal of Machine Learning and Cybernetics";journal;"1868808X, 18688071";"Springer Science + Business Media";No;No;0,694;Q2;73;475;730;24813;2890;725;3,80;52,24;32,98;1;48;United States;Northern America;"Springer Science + Business Media";"2010-2025";"Artificial Intelligence (Q2); Computer Vision and Pattern Recognition (Q2); Software (Q2)";"Computer Science"
134;13622;"SIGMOD Record";journal;"01635808";"Association for Computing Machinery (ACM)";No;No;0,692;Q2;149;37;123;1044;150;99;1,41;28,22;34,71;0;0;United States;Northern America;"Association for Computing Machinery (ACM)";"1969, 1973-1978, 1981-2025";"Information Systems (Q2); Software (Q2)";"Computer Science"
135;24774;"Knowledge Engineering Review";journal;"14698005, 02698889";"Cambridge University Press";No;No;0,688;Q2;73;10;31;725;122;29;2,16;72,50;30,95;0;0;United Kingdom;Western Europe;"Cambridge University Press";"1984, 1987-2025";"Artificial Intelligence (Q2); Software (Q2)";"Computer Science"
136;21101091183;"Systems and Soft Computing";journal;"27729419";"Academic Press";Yes;No;0,686;Q2;12;109;32;3524;163;32;5,09;32,33;35,16;0;44;United States;Northern America;"Academic Press";"2022-2025";"Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
137;24173;"Connection Science";journal;"13600494, 09540091";"Taylor and Francis A.S.";Yes;No;0,681;Q2;52;48;283;2458;1327;281;4,83;51,21;29,82;0;7;United Kingdom;Western Europe;"Taylor and Francis A.S.";"1989-2025";"Artificial Intelligence (Q2); Human-Computer Interaction (Q2); Software (Q2)";"Computer Science"
138;19400158708;"Entertainment Computing";journal;"18759521";"Elsevier B.V.";No;No;0,681;Q2;43;143;185;5650;788;182;4,14;39,51;39,39;0;48;Netherlands;Western Europe;"Elsevier B.V.";"2009-2025";"Computer Science Applications (Q2); Human-Computer Interaction (Q2); Software (Q2)";"Computer Science"
139;21101041515;"Journal of Engineering";journal;"20513305";"John Wiley and Sons Ltd";Yes;No;0,680;Q2;2;0;1;0;3;1;3,00;0,00;0,00;0;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2019-2023";"Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q2); Software (Q2)";"Computer Science; Energy; Engineering"
140;13803;"Signal Processing: Image Communication";journal;"09235965";"Elsevier B.V.";No;No;0,679;Q2;105;67;469;3790;2079;467;3,96;56,57;32,67;0;2;Netherlands;Western Europe;"Elsevier B.V.";"1989-2025";"Computer Vision and Pattern Recognition (Q2); Electrical and Electronic Engineering (Q2); Signal Processing (Q2); Software (Q2)";"Computer Science; Engineering"
141;19294;"Journal of Scheduling";journal;"10946136";"Springer New York";No;No;0,676;Q2;69;50;120;1931;240;114;2,13;38,62;22,37;0;2;United States;Northern America;"Springer New York";"1998-2025";"Engineering (miscellaneous) (Q1); Artificial Intelligence (Q2); Management Science and Operations Research (Q2); Software (Q2)";"Computer Science; Decision Sciences; Engineering"
